date,382548N1212908W001,387511N1213389W001,384082N1213845W001,388974N1213665W001,388943N1214335W001,385567N1214751W001,382913N1213131W001,383264N1213191W001,386016N1213761W001,384121N1212102W001
2015-01-01,13.0,16.0,15.0,16.0,14.0,11.0,17.0,26.0,20.0,16.0
2015-02-01,30.0,43.0,29.0,28.0,34.0,33.0,33.0,43.0,44.0,32.0
2015-03-01,49.0,44.0,43.0,58.0,82.0,62.0,52.0,79.0,79.0,67.0
2015-04-01,62.0,62.0,61.0,65.0,93.0,80.0,70.0,103.0,115.0,80.0
2015-05-01,52.0,55.0,65.0,47.0,72.0,69.0,41.0,92.0,134.0,67.0
2015-06-01,49.0,66.0,88.0,27.0,79.0,81.0,58.0,127.0,156.0,86.0
2015-07-01,45.0,49.0,80.0,31.0,36.0,74.0,42.0,128.0,138.0,72.0
2015-08-01,43.0,55.0,60.0,19.0,44.0,74.0,53.0,125.0,125.0,68.0
2015-09-01,22.0,33.0,50.0,13.0,18.0,38.0,31.0,86.0,88.0,47.0
2015-10-01,16.0,43.0,47.0,14.0,16.0,49.0,37.0,68.0,70.0,42.0
2015-11-01,12.0,19.0,14.0,6.0,12.0,11.0,11.0,29.0,30.0,22.0
2015-12-01,9.0,12.0,17.0,5.0,14.0,11.0,14.0,30.0,21.0,15.0
2016-01-01,14.0,11.0,27.0,10.0,16.0,15.0,8.0,24.0,16.0,17.0
2016-02-01,40.0,35.0,40.0,32.0,50.0,36.0,36.0,59.0,39.0,34.0
2016-03-01,48.0,36.0,65.0,61.0,60.0,45.0,55.0,81.0,50.0,65.0
2016-04-01,66.0,54.0,52.0,80.0,95.0,73.0,62.0,114.0,104.0,79.0
2016-05-01,52.0,56.0,44.0,68.0,75.0,65.0,48.0,134.0,117.0,45.0
2016-06-01,41.0,53.0,70.0,41.0,74.0,58.0,45.0,155.0,135.0,56.0
2016-07-01,55.0,51.0,72.0,37.0,39.0,76.0,52.0,160.0,157.0,70.0
2016-08-01,38.0,49.0,71.0,26.0,33.0,70.0,50.0,145.0,134.0,60.0
2016-09-01,21.0,28.0,50.0,19.0,19.0,52.0,29.0,98.0,103.0,49.0
2016-10-01,20.0,20.0,29.0,17.0,22.0,30.0,20.0,54.0,53.0,25.0
2016-11-01,21.0,16.0,18.0,17.0,21.0,19.0,21.0,32.0,35.0,26.0
2016-12-01,17.0,13.0,12.0,16.0,15.0,22.0,12.0,26.0,26.0,12.0
2017-01-01,14.0,19.0,20.0,14.0,18.0,19.0,16.0,25.0,29.0,19.0
2017-02-01,14.0,16.0,23.0,44.0,30.0,16.0,32.0,37.0,24.0,23.0
2017-03-01,59.0,40.0,58.0,49.0,59.0,44.0,58.0,87.0,68.0,73.0
